ID,Review count,Rating,Price Score(1-3),Latitude,Longitude
i09UMzccKgyLwGYKDVP28w,2755,4.5,2,37.80678,-122.41756
kvrQecqdGvnuVICMstZJmA,582,4.5,2,37.77583055001725,-122.4226361
8dPFvqiYz4ZJUY4DZqZo1Q,514,4.5,2,37.6550735,-122.4103483
HHtpR0RslupSQ99GIIwW5A,3978,4.5,2,37.78511637816802,-122.4320083486284
ECGj_uOTX47MayVCLZei4g,309,4.0,2,37.782407,-122.479713
BjlVE7tTp1UCEttgkM1Big,565,4.5,2,37.76872324000296,-122.42928109103332
UYNswbdsQ5OvwnyY9esxCw,516,4.5,2,37.7666182758937,-122.430262778253
oMlxpjYNPLGV-qAG1mqwPQ,4997,4.0,2,37.97191154325648,-122.52428381165647
fIkLJ_xpZo8py8SYTXYkPQ,294,4.0,2,37.770655,-122.425312
lJAGnYzku5zSaLnQ_T6_GQ,11662,4.0,2,37.7829016035273,-122.419043442957
elgE2cUhKotsLoBUdghexQ,1936,4.5,1,37.753182446703,-122.505007542328
BI40rGhpngLNPacrjWpseQ,1896,4.0,2,37.7423,-122.48701
_1d43w8ys3nefqjhTtUYVQ,1325,5.0,2,37.62957,-122.41554
8kck3-K4zYKTJbJko0JlXQ,3296,4.0,2,37.7601928839328,-122.4114188698492
jU7vhPz-vUmjMlxMf9cTXA,330,4.5,2,37.755952,-122.421328
Id2aVe9l5YQlHtlXnGye-Q,763,4.5,2,37.760662161462,-122.388421141818
bUllrq8bcGbn9TKtVcjL-A,377,4.5,2,37.789884,-122.412317
yC5ATYRQah7MjeTiRsGcvA,946,4.0,1,37.764452,-122.431978
Fe-YjAdSRLqDC2H_pqPcSw,1625,4.0,2,37.7861574638014,-122.430057115853
UTVDbZv-qiHU06sDkoel3g,2260,4.5,2,37.762463,-122.396712
SxHKYiRVnMd9BnTEaEB-FA,170,5.0,2,37.759907,-122.421268
8u7pyRsCdf0DOP-Vg6MuLQ,206,4.5,2,37.771917,-122.430753
Avc_8DPcnBll9WZcEzaJHA,32,5.0,2,37.78180582215728,-122.416181
N6z0so39b9fzGi8UWzI1Ww,1571,4.0,2,37.7579585099187,-122.388854026794
M0JTO3oyu6gxh1mfFjU-dA,7562,4.0,2,37.76378306790313,-122.46900735179602
1EWkmc_myDLYfvorOnYzEA,358,4.5,2,37.794597,-122.404432
SGRmnarrNuVEsAjYdEoA0w,5211,4.0,1,37.75265,-122.41812
UGKNNQ6bjL-ZttHSdZISfA,1970,4.0,2,37.800591,-122.438832
J7_-faNq_Ag9qTOlDn81Pw,2079,4.0,2,37.76402,-122.43253
5JnRBNZ53e3pgKUNOI5kig,92,5.0,2,37.79767721513589,-122.4075332
bJ3InsZr5tDlfI6mEV4Pyg,50,5.0,2,37.77616,-122.40833
