ID,Name,Image,Url,Review count,Category,Rating,Price,Latitude,Longitude,Address,City,State,Country,Phone,Review
i09UMzccKgyLwGYKDVP28w,Surisan,https://s3-media3.fl.yelpcdn.com/bphoto/TRmQFBMztDCAlp_ol7IMbA/o.jpg,https://www.yelp.com/biz/surisan-san-francisco?adjust_creative=Sb39Q_neG8ncCfDxiJ2TWw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Sb39Q_neG8ncCfDxiJ2TWw,2755,Korean,4.5,$$,37.80678,-122.41756,505 Beach St,San Francisco,CA,US,(415) 771-8449,"['Surisan is like my second home because I come here almost every time to eat 1 2 3 days a week. I really liked their bacon and the eggs were very tasty.\nI...', 'My grandmother is a very good cook But this time he wanted us to come and have lunch right here The environment was very warm We were very well received...', 'Food was good and came out fast. One employee (with glasses) had a bad attitude and initially I thought she was having an off day but the next day we came...']"
kvrQecqdGvnuVICMstZJmA,Dumpling Home,https://s3-media3.fl.yelpcdn.com/bphoto/GAjBPEXegP9_JilXDXpLpg/o.jpg,https://www.yelp.com/biz/dumpling-home-san-francisco?adjust_creative=Sb39Q_neG8ncCfDxiJ2TWw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Sb39Q_neG8ncCfDxiJ2TWw,582,Dim Sum,4.5,$$,37.77583055001725,-122.4226361,298 Gough St,San Francisco,CA,US,(415) 503-1666,"['This lived up to the hype! One of the best XLB on the west coast of U S of A. You know its good when you pick it up and it sags without breaking. And theres...', ""One of the BEST shengjian baos (their juicy pork baos) I've ever had!! Crispy bottom with such a juicy filling. Caution: the juice in the dumpling will..."", 'Good dumpling , just longgg wait ! Go there when it opens to avoid waiting in line. xiao long bao is a must and  get their  juicy pork baos also! \n\nIf you...']"
8dPFvqiYz4ZJUY4DZqZo1Q,Hidden Spot - South San Francisco,https://s3-media4.fl.yelpcdn.com/bphoto/dTM8wYiF3ETonZ1Ws3Fjzw/o.jpg,https://www.yelp.com/biz/hidden-spot-south-san-francisco-south-san-francisco?adjust_creative=Sb39Q_neG8ncCfDxiJ2TWw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Sb39Q_neG8ncCfDxiJ2TWw,514,Sandwiches,4.5,$$,37.6550735,-122.4103483,303 Grand Ave,South San Francisco,CA,US,(650) 872-4484,"[""I almost hate to post this as I don't want the place to become super crowded but the sandwiches here are sooooo delicious!  Our favorites are the Battle,..."", ""O V E R A L L: Felt awkward when I was there. I felt like I was walking into a  members only club of sorts. Don't know why. I get there at 1145am and it was..."", 'Great food! Honestly, the chicken sando was good (definitely shareable) but the real MVP are the chicken wings. The honey butter garlic flavor is delicious...']"
HHtpR0RslupSQ99GIIwW5A,Marufuku Ramen,https://s3-media4.fl.yelpcdn.com/bphoto/ouK2VmW0SrI70jsJpTxJhw/o.jpg,https://www.yelp.com/biz/marufuku-ramen-san-francisco-5?adjust_creative=Sb39Q_neG8ncCfDxiJ2TWw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Sb39Q_neG8ncCfDxiJ2TWw,3978,Ramen,4.5,$$,37.78511637816802,-122.4320083486284,1581 Webster St,San Francisco,CA,US,(415) 872-9786,"['Super cute restaurant, really good (REALLY GOOD) ((REALLLLLYYY GOOD)) ramen \n\nNearly busted in my pants when I ate that egg \n\nYummy broth !!\n\n:)', ""Got lucky and only waited ~20 minutes for a table of 3. Fun to walk around Japantown while we were waiting so didn't mind at all.  I got the Tonkotsu Ramen..."", 'From someone who has had ramen in Japan, excellent.   Broth  and pork were delicious.']"
ECGj_uOTX47MayVCLZei4g,Bread N’ Chu,https://s3-media2.fl.yelpcdn.com/bphoto/7ZPIUCqn4WtQkoZm560FVA/o.jpg,https://www.yelp.com/biz/bread-n-chu-san-francisco?adjust_creative=Sb39Q_neG8ncCfDxiJ2TWw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Sb39Q_neG8ncCfDxiJ2TWw,309,Sandwiches,4.0,$$,37.782407,-122.479713,1900 Clement St,San Francisco,CA,US,(415) 702-6556,"[""Delicious sandwiches! I would've given 5 stars but the service sucked. Lol.\nThe worker was not very welcoming and not friendly at all.\n\nTheir bread was so..."", ""It's so hard to find a good Japanese milk bread sando, especially in the Bay. This place does not disappoint! The sandos are awesome and portions are..."", 'My family stopped here while driving through SF and it was a great stop for a quick and delicious lunch. The Choux Sandwich is absolutely divine and my kids...']"
BjlVE7tTp1UCEttgkM1Big,Beit Rima,https://s3-media4.fl.yelpcdn.com/bphoto/qnhe07hneYHMng9qLebLpg/o.jpg,https://www.yelp.com/biz/beit-rima-san-francisco-3?adjust_creative=Sb39Q_neG8ncCfDxiJ2TWw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Sb39Q_neG8ncCfDxiJ2TWw,565,Arabic,4.5,$$,37.76872324000296,-122.42928109103332,138 Church St,San Francisco,CA,US,(415) 703-0270,"['My friend took me to this place and it was so good I came back the next day, alone. The spices on the hand kneaded bread were very tasty. Every bite created...', ""Amazing food! I'll be back. \n\nChicken Kebab platter - 5.  Next time I'll ask for extra grilled tomatoes, those were amazing. \nMezze Plate - that yogurt!!!..."", 'I was looking for a place to meet my friend for lunch when we both were in town and I suggested that we come here. A restaurant that advertises themselves...']"
UYNswbdsQ5OvwnyY9esxCw,Wooden Spoon,https://s3-media4.fl.yelpcdn.com/bphoto/JHujNEsKp9ZvzHQazdVOCQ/o.jpg,https://www.yelp.com/biz/wooden-spoon-san-francisco?adjust_creative=Sb39Q_neG8ncCfDxiJ2TWw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Sb39Q_neG8ncCfDxiJ2TWw,516,Breakfast & Brunch,4.5,$$,37.7666182758937,-122.430262778253,2172 Market St,San Francisco,CA,US,(415) 946-3005,"['I went with a friend for bunch this weekend.  We arrived at 10:30 and had a table after about a 10 minute wait (note - plenty of bar type sitting and...', ""I tend to get the same thing because it's always incredible and it hits the spot. I always get the morning bowl- a Buddha bowl essentially. Each veg is..."", ""I got the huevos divorciados, but veganified. They don't really advertise this on their menu, but they offer vegan egg substitutes, which is amazing. I love...""]"
oMlxpjYNPLGV-qAG1mqwPQ,Sol Food,https://s3-media2.fl.yelpcdn.com/bphoto/I_nogPqlfFuttEfy1Jjluw/o.jpg,https://www.yelp.com/biz/sol-food-san-rafael-3?adjust_creative=Sb39Q_neG8ncCfDxiJ2TWw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Sb39Q_neG8ncCfDxiJ2TWw,4997,Latin American,4.0,$$,37.97191154325648,-122.52428381165647,901 Lincoln Ave,San Rafael,CA,US,(415) 451-4765,"[""Some of these peoples comments in their reviews are ridiculous. They are fools. Don't listen to them. \nSol food has persevered through the pandemic to..."", 'Always been a long wait here everytime we come . For a party of 8 , took much longer wait time !\n\nIt was a late lunch and early dinner for us coming from...', 'My wife and I tried Bistec sandwich (one slice of beef, $14.45), Camarones Criolios plate (5 shrimps, $22.95), Mango iced tea ($4.95), and Coconut pudding...']"
fIkLJ_xpZo8py8SYTXYkPQ,Kantine,https://s3-media4.fl.yelpcdn.com/bphoto/5PsQJEuP815V5xMuTWfJSQ/o.jpg,https://www.yelp.com/biz/kantine-san-francisco-2?adjust_creative=Sb39Q_neG8ncCfDxiJ2TWw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Sb39Q_neG8ncCfDxiJ2TWw,294,Scandinavian,4.0,$$,37.770655,-122.425312,1906 Market St,San Francisco,CA,US,(415) 735-7123,"['Service: Super friendly and very hands-on and ready to help. \n\nAmbience: More of a brunch, self-service place. Low-key vibes. Would be a good place to catch...', ""The experience was all too underwhelming-I arrived three hours after opening to a long line and a crowded dining room, so I was hoping Kantine wasn't one of..."", 'The food is outstanding, original, and always delicious; the outdoor tables are pleasant; and the counter staff are friendly.  So why the three stars? I...']"
lJAGnYzku5zSaLnQ_T6_GQ,Brenda's French Soul Food,https://s3-media4.fl.yelpcdn.com/bphoto/VJ865E7ULQWSNjKhNG57VQ/o.jpg,https://www.yelp.com/biz/brendas-french-soul-food-san-francisco-6?adjust_creative=Sb39Q_neG8ncCfDxiJ2TWw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Sb39Q_neG8ncCfDxiJ2TWw,11662,Breakfast & Brunch,4.0,$$,37.7829016035273,-122.419043442957,652 Polk St,San Francisco,CA,US,(415) 345-8100,"['They had an amazing waiter and I think that usually shows how good a restaurant is. And their food was like golden quality', 'Back again, this time for a Friday brunch. It is always exciting to see what is on the ""Specials"" menu, today featuring a Shrimp Pot Pie w/ Cheddar biscuit...', 'I rarely post low-rated reviews but this needs immediate attention!!! \n\nA mutual friend on social media posted a video exposing discrimination and racism...']"
