ID,Name,Image,Url,Review count,Category,Rating,Price,Latitude,Longitude,Address,City,State,Country,Phone,Review
VdxJdMX53XZYNZvZlr96HA,LaoTable,https://s3-media1.fl.yelpcdn.com/bphoto/5UkRKNTOogI0zLo2kqActA/o.jpg,https://www.yelp.com/biz/laotable-san-francisco?adjust_creative=Sb39Q_neG8ncCfDxiJ2TWw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Sb39Q_neG8ncCfDxiJ2TWw,1296,Laotian,4.0,$$,37.78751373,-122.3987198,149 2nd St,San Francisco,CA,US,(415) 278-9991,"['Conveniently located near the Montgomery Street Bart, Lao Table is hard to miss, especially with its vibrant decor and constantly lively patrons. My party...', 'Best deal on their menu is the Happy Hour Deal from 5-7PM. It includes Laotian Sausage, (4) Crispy Chicken Wings, Fried Calamari, and (10) Oysters....', 'We stopped in on a busy Saturday with a table of four and were quickly whisked to our table to begin an exceptional meal that warrants a good review. The...']"
tiSDprSVuesljC8b0aS64A,Wolfes Lunch,https://s3-media3.fl.yelpcdn.com/bphoto/_OaI-pBgEpIausHmzarjVA/o.jpg,https://www.yelp.com/biz/wolfes-lunch-san-francisco?adjust_creative=Sb39Q_neG8ncCfDxiJ2TWw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Sb39Q_neG8ncCfDxiJ2TWw,127,Japanese,4.0,$,37.766378,-122.3986327,1220 16th St,San Francisco,CA,US,(415) 621-3684,"[""I've passed by this standalone lunch room numerous times but never ventured in until quite recently. The building has been a diner since 1948 and passed..."", ""Those who knew Art's breakfast or this mom & pop place on New Montgomery corner, they were serving bulgogi to' go or dine in.  It's nice to find another..."", ""I'm biased. Seems old Korean families have made dinners in the Bay Area a thing & I love it. Brogoggi & eggs anyone?  There is Arts Cafe in the Sunset and...""]"
vu6PlPyKptsT6oEq50qOzA,Delarosa,https://s3-media2.fl.yelpcdn.com/bphoto/UPdC4GWl7gqOLTgQcs14BA/o.jpg,https://www.yelp.com/biz/delarosa-san-francisco-3?adjust_creative=Sb39Q_neG8ncCfDxiJ2TWw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Sb39Q_neG8ncCfDxiJ2TWw,1494,Pizza,4.0,$$,37.78566226,-122.4042726,37 Yerba Buena Ln,San Francisco,CA,US,(415) 872-7363,"[""Long wait after SFMOMA's first Thursday. Interior is so beautifully decorated, adds to a great ambiance. \nThe service was a little slow but it was busy so..."", '3.5 stars rounding up for the drinks. Not really a destination you have to check out, but a great option for some post work drinks and food if you work...', 'Drink: El Diablo - 7/10\nAppetizer: cauliflower- they were really good. Everyone was ordering them. Must be an overall hit\nMeal: pizza - Spicy Fennel Sausage...']"
Jpxv-URBpIvcu0mE5B6S3g,Cafe Okawari,https://s3-media1.fl.yelpcdn.com/bphoto/3BUYpWqi8Z_7EqHynnX4gw/o.jpg,https://www.yelp.com/biz/cafe-okawari-san-francisco?adjust_creative=Sb39Q_neG8ncCfDxiJ2TWw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Sb39Q_neG8ncCfDxiJ2TWw,220,Japanese,4.5,$$,37.77826,-122.39388,236 Townsend St,San Francisco,CA,US,(415) 801-5927,"['Awesome place for hearty Japanese fare by Oracle Park. Thanks to their halal chicken supply, I got to try Chicken Katsu for the first time. It was crispy...', 'Casual meal spot located near Oracle Park/Caltrain station.\n\nOf course, I had to try the chicken katsu sando. The chicken was crispy and juicy with a nice...', '22.05.09.    First, unplanned, accidental visit\n                    rough draft ... will revisit to update the review and another item\n\nMentso Sando...']"
BI40rGhpngLNPacrjWpseQ,Dumpling Kitchen,https://s3-media1.fl.yelpcdn.com/bphoto/rggI1HG_kaABtAGNiuqF9Q/o.jpg,https://www.yelp.com/biz/dumpling-kitchen-san-francisco?adjust_creative=Sb39Q_neG8ncCfDxiJ2TWw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Sb39Q_neG8ncCfDxiJ2TWw,1897,Chinese,4.0,$$,37.7423,-122.48701,1935 Taraval St,San Francisco,CA,US,(415) 682-8938,"[""We where visiting from Arizona, at home we don't have lots of places that do serve vegan dumplings and buns. This place is very welcoming. Food is so good..."", ""Came here yesterday after a haircut. The spicy wonton in chili oil was my least favorite because the sauce wasn't very special. However, the wontons were..."", 'Bit of a wait on a late Sunday afternoon, but good thing we joined the Yelp waitlist. I was excited for the food as the menu and pictures looked good, but...']"
kesgk8dCRyg3qRDYpuAKGg,Home Plate,https://s3-media3.fl.yelpcdn.com/bphoto/nJwasMq9L0cbh18dGhTw5A/o.jpg,https://www.yelp.com/biz/home-plate-san-francisco?adjust_creative=Sb39Q_neG8ncCfDxiJ2TWw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Sb39Q_neG8ncCfDxiJ2TWw,1432,Breakfast & Brunch,4.0,$$,37.79990506,-122.4371697,2150 Lombard St,San Francisco,CA,US,(415) 922-4663,"[""We waited 30 min for a waitress to get our order! Instead she took the order of a family that came like 20 min after we arrived. She didn't even said sorry..."", 'cute aesthetics, unique menu, great service :) \n\nwe got the honey avocado granola, crab cake benedict, and crispy french toast. everything was really good!...', 'I normally dont write reviews but this place had me feeling really uncomfortable......\n\nI went to this place because of tje great reviews online.  However...']"
KarMlfJURqPo70kQZ4LzFg,Tarragon Cafe,https://s3-media4.fl.yelpcdn.com/bphoto/lnYmJA9sKbu6DyLMTWV2ZQ/o.jpg,https://www.yelp.com/biz/tarragon-cafe-san-francisco?adjust_creative=Sb39Q_neG8ncCfDxiJ2TWw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Sb39Q_neG8ncCfDxiJ2TWw,64,Cafes,4.5,$$,37.77139,-122.43014,200 Fillmore St,San Francisco,CA,US,(415) 624-3318,"[""Tried this based on a friend's recommendation and it did not disappoint! I'd say I have pretty high salad standards and value high quality ingredients and I..."", ""Tarragon, in Cafe du Soleil's old spot, had a lot to live up to once the took over the space from the dear departed coffee Soleil. \n\nI was hesitant to come..."", ""Beware, if you're planning on coming in here with a service animal, you might be in for a rude awakening.\n\nAfter reading all of the positive Yelp reviews, I...""]"
rUQmWnDbZWo0AN9j1i3cAQ,Woori Food Market,https://s3-media4.fl.yelpcdn.com/bphoto/7p5bl3qtQWUYUse9sPNLGw/o.jpg,https://www.yelp.com/biz/woori-food-market-san-francisco-6?adjust_creative=Sb39Q_neG8ncCfDxiJ2TWw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Sb39Q_neG8ncCfDxiJ2TWw,121,Caterers,4.5,$,37.78375,-122.43249,1528 Fillmore St,San Francisco,CA,US,(415) 673-9887,"['Love this Korean little grocery store. \nVery nice selection of premade banchans.\nThe workers here are very friendly. \nI will definitely go back to this cute...', 'I absolutely love this Korean market! I come here to get Korea groceries, they have a lot of good options!\n\nI specifically love their little hot box section...', 'Good good via delivery -- recommended for tasty eating! The kimbap is great. The kim chi fried rice is also very good.']"
DrR38H1Abk0wCyu9XOLug,Sweet Maple,https://s3-media2.fl.yelpcdn.com/bphoto/etyS0Af-PS74CTwxly2uoA/o.jpg,https://www.yelp.com/biz/sweet-maple-san-francisco?adjust_creative=Sb39Q_neG8ncCfDxiJ2TWw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Sb39Q_neG8ncCfDxiJ2TWw,4334,American (Traditional),4.5,$$,37.78573568,-122.4350777,2101 Sutter St,San Francisco,CA,US,(415) 655-9169,"['An amazing brunch spot! Go during a week day to avoid long lines and waits. \n\nYou should order the bacon sampler to start your meal!', ""Wow. I love San Francisco brunch. And this place is definitely in the top tier! Special mention: the millionaire's bacon. Glazed and thick cut and..."", 'One of my favorite brunch spot in the city! Loved the service and we got our food in a timely manner. The Gardena was delicious but gotta be careful because...']"
elgE2cUhKotsLoBUdghexQ,Devil's Teeth Baking Company,https://s3-media2.fl.yelpcdn.com/bphoto/jAai8bU3HUMOATl6mbiwkg/o.jpg,https://www.yelp.com/biz/devils-teeth-baking-company-san-francisco?adjust_creative=Sb39Q_neG8ncCfDxiJ2TWw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Sb39Q_neG8ncCfDxiJ2TWw,1935,Bakeries,4.5,$,37.75318245,-122.5050075,3876 Noriega St,San Francisco,CA,US,(415) 683-5533,"['amazing breakfast sandwich. the workers were very nixe. the cashier lady which i think is the owner. Very friendly and nice. The cinnamon rolls are next....', 'Definitely a SF staple. Come by for that fresh bakery atmosphere and enjoy your order either by the beach or outdoor parklet. \n\nOf course we had to try the...', 'Had high hopes for this place and was very excited about the breakfast sandwich and the biscuit, but mine seemed overcooked and very dry :( the filling was...']"
1ULAxKR5_7RWzQ4CRJD1hg,El Castillito,https://s3-media2.fl.yelpcdn.com/bphoto/IJ7zaMGnggsxeoa-psV_DA/o.jpg,https://www.yelp.com/biz/el-castillito-san-francisco-2?adjust_creative=Sb39Q_neG8ncCfDxiJ2TWw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Sb39Q_neG8ncCfDxiJ2TWw,892,Mexican,4.0,$$,37.7687639,-122.4292759,136 Church St,San Francisco,CA,US,(415) 621-3428,"[""Came in today on my lunch and got an al pastor burrito. It was absolutely delicious and filling that I couldn't even finish the burrito. \n\nThe store has a..."", 'The orange juice was great, that is the only thing we really enjoyed.  They  have this industrial orange juice maker that is pretty impressive.  \n\nThe first...', ""First time visiting this place today with super high hopes.  Unfortunately, the food didn't particularly live up to the four star rating.  Here's the quick...""]"
kvFI8S8XuE0793DBR0wSbg,San Ho Won,https://s3-media3.fl.yelpcdn.com/bphoto/18tgatAFaSXxUXZBmPDFgg/o.jpg,https://www.yelp.com/biz/san-ho-won-san-francisco-2?adjust_creative=Sb39Q_neG8ncCfDxiJ2TWw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Sb39Q_neG8ncCfDxiJ2TWw,187,Korean,4.5,$$$$,37.75944,-122.41017,2170 Bryant St,San Francisco,CA,US,(415) 868-4479,"['San Ho Won exceeded our expectations. My family and I have been trying to get a reservation for so long, and this week we happened to be in SF, so we...', 'The House Menu is a great option for first-timers since it has a little of everything! We really wanted to try the Beef Tongue and Mushrooms though, so we...', ""Fantastic attention to detail. Very good service. Nuanced flavors I haven't seen outside of Korea. The prix-fixé was a journey that stuffed out tummies and...""]"
wCf2GGyEOkaSFE0xCYpgOA,Hai Ky Noodles,https://s3-media3.fl.yelpcdn.com/bphoto/x1FoljmTD6uPnNntyZggfQ/o.jpg,https://www.yelp.com/biz/hai-ky-noodles-san-francisco?adjust_creative=Sb39Q_neG8ncCfDxiJ2TWw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Sb39Q_neG8ncCfDxiJ2TWw,1082,Chinese,4.5,$$,37.7840538,-122.4179535,707 Ellis St,San Francisco,CA,US,(415) 771-2577,"[""Wonderful staff and duck noodle soup! They also make their ca phe sua da to order and it wasn't pre batched. The whole experience was excellent"", 'The second I land in SFO, I crave this spot.\n\nI get the braised duck leg soup with thick egg noodles - and good lord, that broth is fucking amazing; full of...', ""Hai Ky Noodles Ratings: 4.4/5 \n\nFood: 4.75/5 - WOW! Hai Ky is freaking amazing. I wasn't feeling well this morning, and my boyfriend was so nice and ordered...""]"
Uh932p9MfAXppaXbFPkykA,Mission Rock Resort,https://s3-media1.fl.yelpcdn.com/bphoto/qCS4VdRK8GIIyNtIqaAlyw/o.jpg,https://www.yelp.com/biz/mission-rock-resort-san-francisco-2?adjust_creative=Sb39Q_neG8ncCfDxiJ2TWw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Sb39Q_neG8ncCfDxiJ2TWw,1417,Seafood,4.0,$$,37.76552933,-122.3865987,817 Terry Francois Blvd,San Francisco,CA,US,(415) 701-7625,"['I love there lobster macaroni. This can be split between 3-4 people . Eating this all by yourself is heavy \n\nI love there oysters . They do have happy hours...', ""I came here for the $1 HH oysters but ended up getting the lobster roll, fried calamari/veggies and lava drink as well. \n\nI believe there's a maximum number..."", 'Nandi heheh Whhs RN shushed kfktisb nah he. Sjmeocid ishejw ndmjdn djjje. Husband. \n\nSmkksjabbe.']"
XAYwAF_83becwNnSJDFkpA,Dumpling House,https://s3-media2.fl.yelpcdn.com/bphoto/DNfqq1zYxbJ-gsalml7wng/o.jpg,https://www.yelp.com/biz/dumpling-house-san-francisco?adjust_creative=Sb39Q_neG8ncCfDxiJ2TWw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Sb39Q_neG8ncCfDxiJ2TWw,331,Dim Sum,4.5,$$,37.763552,-122.432762,335 Noe St,San Francisco,CA,US,(415) 829-2789,"['Made a reservation for 2 on Monday night for Tuesday @ 7pm with ease! When we arrived, we were seated immediately. I was surprised this place existed tbh!...', 'Came back tonight for the first time in awhile. I love seeing small restaurants like this one bustling!  We came at 8pm on a Saturday (they close at 9pm),...', 'What an excellent choice by my dining partner.  Anthony, not so much a yelper, knew the 4.5 out of 5 stars would impress me. Lol.  We were BOTH pleasantly...']"
u39mZEYojBiNic3lqKhPNw,Tacorea,https://s3-media4.fl.yelpcdn.com/bphoto/XCBggDPYWe2yvYvqqH0qnQ/o.jpg,https://www.yelp.com/biz/tacorea-san-francisco?adjust_creative=Sb39Q_neG8ncCfDxiJ2TWw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Sb39Q_neG8ncCfDxiJ2TWw,1888,Mexican,4.5,$$,37.7897794,-122.410717,809 Bush St,San Francisco,CA,US,(415) 484-8911,"['Yum yum yum yum yum. As a lover of good Korean and Mexican food this place seemed right up my alley. Fusion between the two with loaded breakfast burritos...', ""Cool vibes, great staff, fast service, and generally very very good food. Tacorea delivers!! With some caveats.\n\nVERSUS!! Can't decide which to..."", 'Delicious Mexican Korean fusion food and good outdoor/indoor seating vibes for a casual night w/friends. Ordered the Super Burrito while my friend order the...']"
Xg-FyjVKAN70LO4u4Z1ozg,Hog Island Oyster,https://s3-media4.fl.yelpcdn.com/bphoto/Kozd3NJMSaT6S3J2kYAc1g/o.jpg,https://www.yelp.com/biz/hog-island-oyster-san-francisco-2?adjust_creative=Sb39Q_neG8ncCfDxiJ2TWw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Sb39Q_neG8ncCfDxiJ2TWw,6552,Seafood,4.5,$$,37.795831,-122.393303,1 Ferry Bldg,San Francisco,CA,US,(415) 391-7117,"['Fresh and delicious oysters.\nThe line was long because it was lunchtime on the weekend, but I entered quickly.', 'I love Hog Island!  Being from San Francisco this has been my go to place for years! Always recommended for fresh oysters and seafood.', 'Update to my review: the General Manager, Ethan, reached out to me and provided some context for what might have contributed to my disappointing service and...']"
